Kategoria: Wszystko

Region,styl hampton: (Od 7.01.2018 do 7.01.2023)
Województwo zachodniopomorskie,100
pomorskie,91
mazowieckie,75
wielkopolskie,63
Województwo dolnośląskie,63
kujawsko-pomorskie,61
województwo łódzkie,51
Województwo podkarpackie,49
małopolskie,49
śląskie,46
podlaskie,
lubuskie,
warmińsko-mazurskie,
lubelskie,
świętokrzyskie,
opolskie,
