Kategoria: Wszystko

Region,styl industrialny: (Od 7.01.2018 do 7.01.2023)
Województwo podkarpackie,100
pomorskie,96
małopolskie,93
wielkopolskie,93
Województwo dolnośląskie,90
województwo łódzkie,89
kujawsko-pomorskie,88
śląskie,81
mazowieckie,81
Województwo zachodniopomorskie,75
lubelskie,72
podlaskie,
lubuskie,
warmińsko-mazurskie,
świętokrzyskie,
opolskie,
