Kategoria: Wszystko

Region,styl francuski: (Od 7.01.2018 do 7.01.2023)
województwo łódzkie,100
Województwo zachodniopomorskie,97
kujawsko-pomorskie,97
mazowieckie,89
małopolskie,88
śląskie,83
pomorskie,80
Województwo podkarpackie,76
Województwo dolnośląskie,76
wielkopolskie,74
świętokrzyskie,
lubelskie,
opolskie,
warmińsko-mazurskie,
lubuskie,
podlaskie,
