Kategoria: Wszystko

Region,styl vintage: (Od 7.01.2018 do 7.01.2023)
lubelskie,100
kujawsko-pomorskie,98
pomorskie,94
Województwo podkarpackie,92
wielkopolskie,88
województwo łódzkie,87
lubuskie,87
małopolskie,86
podlaskie,85
mazowieckie,83
warmińsko-mazurskie,82
Województwo dolnośląskie,79
Województwo zachodniopomorskie,76
śląskie,74
świętokrzyskie,71
opolskie,62
