Kategoria: Wszystko

Region,styl klasyczny: (Od 7.01.2018 do 7.01.2023)
Województwo podkarpackie,100
lubelskie,97
kujawsko-pomorskie,94
Województwo dolnośląskie,89
pomorskie,88
mazowieckie,87
śląskie,85
wielkopolskie,84
Województwo zachodniopomorskie,82
województwo łódzkie,79
małopolskie,76
warmińsko-mazurskie,
podlaskie,
świętokrzyskie,
lubuskie,
opolskie,
