Kategoria: Wszystko

Region,styl skandynawski: (Od 7.01.2018 do 7.01.2023)
warmińsko-mazurskie,100
wielkopolskie,98
Województwo zachodniopomorskie,93
opolskie,92
lubuskie,86
kujawsko-pomorskie,86
podlaskie,85
pomorskie,84
Województwo podkarpackie,84
małopolskie,82
województwo łódzkie,79
Województwo dolnośląskie,78
śląskie,75
świętokrzyskie,75
mazowieckie,68
lubelskie,67
