Kategoria: Wszystko

Region,styl loftowy: (Od 7.01.2018 do 7.01.2023)
wielkopolskie,100
warmińsko-mazurskie,91
lubuskie,90
kujawsko-pomorskie,89
Województwo podkarpackie,89
świętokrzyskie,87
pomorskie,86
śląskie,81
województwo łódzkie,79
lubelskie,74
małopolskie,74
opolskie,73
Województwo zachodniopomorskie,72
Województwo dolnośląskie,71
mazowieckie,67
podlaskie,67
