Kategoria: Wszystko

Region,styl nowoczesny: (Od 7.01.2018 do 7.01.2023)
kujawsko-pomorskie,100
wielkopolskie,100
województwo łódzkie,86
małopolskie,85
mazowieckie,84
Województwo podkarpackie,83
pomorskie,83
Województwo dolnośląskie,81
lubelskie,80
śląskie,73
podlaskie,68
warmińsko-mazurskie,
lubuskie,
opolskie,
Województwo zachodniopomorskie,
świętokrzyskie,
